n°;Domanda;Risposta1;Risposta2;Risposta3;Risposta4;Risposta Esatta
1;Quanti sono i "sacramenti"?;Tre ;Sette ;Dieci ;Dodici ;Sette 
2;Quali sono i "sacramenti"?;;;;;Battesimo,Cresima,Eucarestia, Penitenza,Unzione degli Infermi, Ordine, Matrimonio
3;Quali sono i sacramenti che introducono nella Chiesa, popolo di Dio?;Battesimo,Matrimonio,Eucarestia ;Penitenza,Ordine,Unzione degli Infermi ;Battesimo,Confermazione,Eucarestia ;Matrimonio,Eucarestia,Penitenza;Battesimo,Confermazione e Eucarestia 
4;Qual è il primo dei sacramenti che riceve colui che vuole diventare cristiano ;Ordine ;Battesimo;Confermazione;;Battesimo,
5;In quali sacramenti viene usato il "crisma", l'olio consacrato?;Matrimoni e Battesimo;Comunione e Matrimonio;Battesimo,Confermazione e Ordine ;;Battesimo,Confermazione e Ordine 
6;Quale sacramento è stato istituito da Gesù durante l'ultima Cena con gli apostoli?;Eucarestia ;Battesimo;Ordine ;;Eucarestia 
7;Che cos'è il "Battesimo"?;Un tipo di chiesa ;Un santo;Un sacramento;;Un sacramento 
8;Come si chiama colui che viene istruito sulla fede cristiana in preparazione al Battesimo ;Catecumeno ;Cresimando ;Battezzato;;Catecumeno 
9;Cosa si intende con il termine  "battistero" ?;Il luogo riservato alla celebrazione del Battesimo;Colui che riceve il Battesimo;Il contenitore dell'acqua riservata al Battesimo;Colui che celebra il sacramento del Battesimo;Il luogo riservato alla celebrazione del Battesimo
10;Che cosa significa la parola "Battesimo" ?;Inginocchiarsi ;Immergere in ;Pregare ;;Immargere in
11;Come può venire conferito il sacramento del Battesimo?;Mettendo cenere sul capo del battezzato ;Secondo il rito per immersione o per infusione ;;;Secondo il rito per immensione o per infusione 
12;In che cosa consiste il Battesimo per " infusione" ?;è il Battsimo che viene conferito sul capo del battezzando ;è il Battesimo che vine conferito immergendo il battezzando nell'acqua ;;;è il Battesimo che viene conferito versando l'acqua sul capo del battezzando 
13;Quando viene benedetta l'acqua usata per il Battesimo?;Durante la Veglia pasquale oppure, fuori dal tempo pasquale, durante ogni celebrazione battesimale ;A Natale ;A Capodanno ;;Durante la Veglia pasquale oppure, fuori dal tempo pasquale, durante ogni celebrazione battesimale 
14;Che cos'è il fonte battesimale?;Una sorgente d'acqua pura ;Una fontana ;Una vasca riservata per il Battesimo ;;Una vasca riservata per il Battesimo 
15;Che cosa viene posto vicino al fonte battesimale?;Un cero acceso ;Una foto del battezzando ;Una foto del Papa;;Un cero acceso 
16;Quali sono i momenti principali del rito del Battesimo?;Liturgia penitenziale e liturgia eucaristica ;"Riti di accoglienza;Liturgia della Parola; Liturgia del Sacramento; Riti di conclusione ";Omelia e congedo;;"Riti di accoglienza;Liturgia della Parola; Liturgia del Sacramento; Riti di conclusione "
17;Di che colore sono gli abiti liturgici che indossa il celebrante per il rito battesimale?;Rosso ;Viola ;Bianco ;;Bianco 
18;Chi può essere il " ministro ordinario" per il Battesimo?;Il sacrestano;Il sindaco ;Il Vescovo, i sacerdoti e i diaconi ;;Il Vescovo, i sacerdoti e i diaconi 
19;Quali sono i momenti principali dei " riti di acccoglienza"?;;;;;"Dialogo tra celebrante genitori e padrini; segno della croce  sulla fronte del battezzando."
20;Da chi viene fatto il segno della croce sulla fronte dei battezzandi durante il rito dell'accoglienza?;Dai nonni e dai cugini ;Dal celebrante e dai genitori ed eventualmente i padrini;Dal sindaco e dagli amici ;;Dal celebrante e dai genitori ed eventualmente i padrini
21;In quale momento il battezzando viene unto sul petto con l'olio dei catecumeni?;Prima di entare in chiesa ;Al momento dell'unzione pre-battesimale;Al termine del rito battesimale;;Al momento dell'unzione pre-battesimale
22;Durante il rito battesimale, quali sono i momenti della "Liturgia del Sacramento"?;;;;;"a)Preghiera e invocazione sull'acqua;b)Rinuncia a satana e professione di fede;c) Battesimo;d)Unzione con il sacro crisma; e)Consegna della veste bianca e del cero acceso; f) rito dell'Effeta "
23;Che cosa si dice in risposta alle domande della professione di fede?;Osanna ;Credo;Amen ;Alleluia;Credo 
24;Che cosa viene consegnata, dopo l'unzione con il crisma, ai genitori per il battezzato?;Una foto ricordo;Un'immagine della Madonna ;Una veste bianca ;Una corona del Rosario;Una veste bianca 
25;Che cosa viene consegnato, oltre alla veste bianca, ai genitori per il battezzato?;Un libro ;Un cero acceso;Un mazzo di fiori ;;Un cero acceso 
